en_name,jp_name,cuisine,rating,price,url
Daishousuisan,大庄水産 札幌・読売北海道ビル店,日式小酒館/海鮮蓋飯/魚類料理・海鮮料理,3.11,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1040205/
Sanrumu,さんるーむ 大丸札幌店,天然食品,3.09,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002250/
Shirakabasansou,白樺山荘 札幌ら～めん共和国店,拉麵,3.41,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1001201/
Eitoraisufirudokafe,エイトライスフィールドカフェ,餐飲酒館/義式,3.13,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1038906/
RONDO,スカイレストラン ロンド,法式/牛排/義大利麵,3.46,"￥6,000～￥7,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002161/
Rojiura Curry SAMURAI.,Rojiura Curry SAMURAI. 札幌駅アピア,湯咖哩,3.12,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1065396/
GATEAU FESTA HARADA,ガトーフェスタ ハラダ 大丸札幌店,西式甜點（其他）/甜點（其他）,3.13,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1048429/
Sutattsuone,スタッツィオーネ,義式/義大利麵/披薩,3.19,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002906/
SOURCE06,SOURCE06,義式/義大利麵/三明治,3.47,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1063719/
shigepan,しげぱん エスタ店,麵包,3.17,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1071931/
Sakanaisshinsouzaitei,魚一心惣菜亭 東急さっぽろ店,日式料理（其他）/壽司/定食、食堂,3.28,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1038622/
Ajisai,あじさい 札幌エスタ店,拉麵,3.42,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1025592/
Reinbeikusyoppu,レインベイクショップ Sapporo Station,西式甜點（其他）/甜點（其他）,3.38,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1066643/
DOUTOR COFFEE,ドトールコーヒーショップ 札幌エスタ地下店,咖啡店/三明治/蛋糕,3.12,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1016339/
tenshinsapporokouga,点心札幌 黄河 エスタ店,便當/中國菜,3.39,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1029243/
okonomiyakiyakisobafuugetsu,お好み焼・焼そば 風月 エスタ店,大阪燒/炒麵/文字燒,3.06,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010102/1028573/
YUTORINO KUKAN,ゆとりの空間 大丸札幌店,咖啡店/日式料理（其他）/定食、食堂,3.2,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1001998/
burukube-kari-,ブルクベーカリー 東急百貨店,麵包,3.38,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1059026/
Rakkyo,ラッキョ 札幌エスタ店,湯咖哩,3.54,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1056045/
Tsuruhashifuugetsu,鶴橋風月 大丸札幌店,大阪燒/炒麵/鐵板燒,3.07,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005162/
Minorudainingu,みのるダイニング 札幌ステラプレイス店,餐飲酒館,3.35,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1065014/
hokkaidousu-pusutando,北海道スープスタンド 札幌エスタ店,湯,3.28,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1053764/
Miyagawahonten,宮川本廛 大丸札幌店,饅魚,3.54,"￥5,000～￥5,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005954/
Kamaei,かま栄 札幌東急店,其他,3.14,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1031108/
